id,edad,abandono,viajes,departamento,distancia_casa,educacion,carrera,satisfaccion_entorno,implicacion,nivel_laboral,puesto,satisfaccion_trabajo,estado_civil,salario_mes,num_empresas_anteriores,horas_extra,incremento_salario_porc,evaluacion,satisfaccion_companeros,nivel_acciones,anos_experiencia,num_formaciones_ult_ano,anos_compania,anos_desde_ult_promocion,anos_con_manager_actual
45,24,Yes,Travel_Rarely,Research & Development,1,Universitaria,Systems Engineer,Media,Alta,1,Research Scientist,Alta,Married,2293.0,2,Yes,16,Alta,Baja,1,6,2,2,2,0
46,43,No,Travel_Rarely,Research & Development,2,Master,Systems Engineer,Muy_Alta,Muy_Alta,1,Research Scientist,Muy_Alta,Divorced,2645.0,1,No,12,Alta,Muy_Alta,2,6,3,5,1,4
47,50,Yes,Travel_Rarely,Sales,3,Universitaria,Marketing,Baja,Media,1,Sales Representative,Media,Married,2683.0,1,Yes,14,Alta,Alta,0,3,2,3,0,2
52,33,No,Travel_Frequently,Sales,1,Master,Life Sciences,Alta,Muy_Alta,2,Sales Executive,Muy_Alta,Married,5376.0,2,No,19,Alta,Baja,2,10,3,5,1,3
53,35,No,Travel_Rarely,Financial,4,Universitaria,Other,Alta,Alta,1,Treasurer,Alta,Divorced,1951.0,1,No,12,Alta,Alta,1,1,3,1,0,0
54,27,No,Travel_Rarely,Research & Development,2,Universitaria,Software Engineer,Muy_Alta,Alta,1,Laboratory Technician,Alta,Divorced,2341.0,1,No,13,Alta,Muy_Alta,1,1,6,1,0,0
55,26,Yes,Travel_Rarely,Financial,25,Universitaria,Ingeniería Administrativa,Baja,Baja,1,Treasurer,Baja,Single,2293.0,1,No,12,Alta,Alta,0,1,2,1,0,1
56,27,No,Travel_Frequently,Sales,8,Universitaria,Life Sciences,Muy_Alta,Alta,3,Sales Executive,Alta,Single,8726.0,1,No,15,Alta,Muy_Alta,0,9,0,9,1,7
57,30,No,Travel_Frequently,Research & Development,1,Universitaria,Systems Engineer,Alta,Alta,2,Laboratory Technician,Alta,Single,4011.0,1,No,23,Muy_Alta,Muy_Alta,0,12,2,12,3,7
58,41,Yes,Travel_Rarely,Research & Development,12,Universitaria,Software Technologist,Media,Alta,5,Research Director,Alta,Married,19545.0,1,No,12,Alta,Muy_Alta,0,23,0,22,15,8
60,34,No,Non-Travel,Sales,23,Universitaria,Marketing,Media,Alta,2,Sales Executive,Alta,Single,4568.0,0,No,20,Muy_Alta,Alta,0,10,2,9,8,7
63,35,No,Travel_Rarely,Research & Development,8,Master,Software Engineer,Muy_Alta,Muy_Alta,1,Laboratory Technician,Muy_Alta,Married,2269.0,1,No,19,Alta,Muy_Alta,0,1,2,1,0,1
65,28,Yes,Travel_Rarely,Financial,5,Universitaria,Contaduría,Alta,Alta,1,Treasurer,Alta,Single,3441.0,1,Yes,13,Alta,Alta,0,2,3,2,2,2
68,44,No,Travel_Rarely,Sales,1,Universitaria,Marketing,Media,Alta,2,Sales Executive,Alta,Divorced,5454.0,5,Yes,21,Muy_Alta,Alta,1,9,2,4,1,3
70,35,No,Non-Travel,Research & Development,11,Universitaria,Systems Engineer,Alta,Media,3,Software Engineer,Media,Married,9884.0,2,Yes,13,Alta,Alta,1,10,3,4,2,3
72,26,No,Travel_Rarely,Sales,23,Universitaria,Marketing,Alta,Media,2,Sales Executive,Media,Married,4157.0,7,Yes,19,Alta,Alta,1,5,2,2,0,0
73,33,No,Travel_Frequently,Research & Development,1,Universitaria,Software Engineer,Baja,Alta,3,Research Director,Alta,Single,13458.0,1,Yes,12,Alta,Alta,0,15,1,15,8,12
74,35,No,Travel_Frequently,Sales,18,Universitaria,Life Sciences,Media,Alta,3,Sales Executive,Alta,Married,9069.0,1,No,22,Muy_Alta,Muy_Alta,1,9,3,9,1,8
76,31,No,Travel_Rarely,Research & Development,7,Universitaria,Software Engineer,Muy_Alta,Alta,2,Laboratory Technician,Alta,Divorced,5915.0,3,No,22,Muy_Alta,Muy_Alta,1,10,3,7,1,7
78,32,No,Travel_Rarely,Research & Development,1,Universitaria,Systems Engineer,Baja,Alta,2,Data Scientist,Alta,Married,6162.0,1,Yes,22,Muy_Alta,Media,1,9,3,9,7,8
80,50,No,Travel_Rarely,Research & Development,7,Universitaria,Systems Engineer,Media,Media,5,Research Director,Media,Divorced,18740.0,5,Yes,12,Alta,Muy_Alta,1,29,2,27,13,8
83,36,No,Travel_Rarely,Research & Development,8,Universitaria,Software Technologist,Alta,Alta,3,Software Engineer,Alta,Divorced,10096.0,1,No,13,Alta,Media,3,17,2,17,12,8
84,55,No,Travel_Rarely,Financial,8,Universitaria,Finanzas,Muy_Alta,Alta,4,CFO,Alta,Divorced,14756.0,2,Yes,14,Alta,Alta,3,21,2,5,0,2
86,45,No,Travel_Rarely,Research & Development,7,Universitaria,Software Engineer,Media,Alta,3,Research Scientist,Alta,Divorced,9724.0,2,No,17,Alta,Alta,1,25,2,1,0,0
88,35,No,Travel_Frequently,Research & Development,1,Universitaria,Systems Engineer,Media,Alta,1,Research Scientist,Alta,Married,2194.0,4,No,13,Alta,Muy_Alta,1,5,2,3,1,2
90,36,Yes,Travel_Rarely,Research & Development,9,Universitaria,Systems Engineer,Muy_Alta,Media,1,Research Scientist,Media,Married,3388.0,0,Yes,17,Alta,Baja,1,2,0,1,0,0
91,59,No,Travel_Frequently,Sales,1,Universitaria,Life Sciences,Baja,Media,2,Sales Executive,Media,Single,5473.0,7,No,11,Alta,Muy_Alta,0,20,2,4,1,3
94,29,No,Travel_Rarely,Research & Development,2,Universitaria,Software Engineer,Alta,Alta,1,Research Scientist,Alta,Married,2703.0,0,No,23,Muy_Alta,Muy_Alta,1,6,3,5,0,4
95,31,No,Travel_Rarely,Research & Development,1,Universitaria,Systems Engineer,Alta,Alta,1,Research Scientist,Alta,Single,2501.0,1,No,17,Alta,Media,0,1,4,1,1,0
97,36,No,Travel_Rarely,Research & Development,6,Master,Software Engineer,Media,Muy_Alta,1,Laboratory Technician,Muy_Alta,Married,3038.0,3,No,12,Alta,Media,0,5,3,1,0,0
98,31,No,Travel_Rarely,Research & Development,8,Universitaria,Software Engineer,Alta,Alta,2,Data Scientist,Alta,Single,4424.0,1,No,23,Muy_Alta,Muy_Alta,0,11,2,11,1,8
100,35,No,Travel_Rarely,Sales,1,Universitaria,Marketing,Alta,Media,2,Sales Executive,Media,Single,4312.0,0,No,14,Alta,Media,0,16,2,15,2,8
101,45,No,Travel_Rarely,Financial,6,Universitaria,Other,Muy_Alta,Alta,3,Financial Director,Alta,Married,13245.0,4,Yes,14,Alta,Media,0,17,3,0,0,0
103,46,No,Travel_Rarely,Human Resources,5,Universitaria,Medical,Media,Alta,2,Human Resources,Alta,Divorced,5021.0,8,Yes,22,Muy_Alta,Muy_Alta,1,16,2,4,0,2
104,30,No,Travel_Rarely,Research & Development,1,Universitaria,Software Engineer,Muy_Alta,Media,2,Laboratory Technician,Media,Married,5126.0,1,Yes,12,Alta,Alta,2,10,1,10,3,0
105,35,No,Travel_Rarely,Research & Development,1,Universitaria,Systems Engineer,Media,Media,1,Research Scientist,Media,Single,2859.0,1,No,18,Alta,Baja,0,6,3,6,0,4
106,55,No,Travel_Rarely,Sales,1,Universitaria,Life Sciences,Baja,Alta,3,Sales Executive,Alta,Married,10239.0,3,No,14,Alta,Muy_Alta,1,24,4,1,1,0
110,34,No,Travel_Rarely,Research & Development,1,Universitaria,Systems Engineer,Baja,Alta,2,Data Scientist,Alta,Married,4325.0,1,No,15,Alta,Alta,0,5,2,5,1,3
112,56,No,Travel_Rarely,Financial,7,Universitaria,Ingeniería Administrativa,Muy_Alta,Baja,3,Accountant,Baja,Single,7260.0,4,No,11,Alta,Baja,0,37,3,6,0,2
113,23,No,Travel_Rarely,Sales,2,Universitaria,Technical Degree,Alta,Alta,1,Sales Representative,Alta,Divorced,2322.0,3,No,13,Alta,Alta,1,3,3,0,0,0
116,51,No,Travel_Rarely,Financial,9,Universitaria,Ingeniería Administrativa,Muy_Alta,Alta,1,Treasurer,Alta,Married,2075.0,3,No,23,Muy_Alta,Media,2,10,4,4,0,3
117,30,No,Travel_Rarely,Financial,2,Universitaria,Ingeniería Administrativa,Alta,Media,2,Coordinator,Media,Married,4152.0,1,No,19,Alta,Baja,3,11,3,11,10,8
118,46,Yes,Travel_Rarely,Sales,9,Universitaria,Medical,Alta,Media,3,Sales Executive,Media,Single,9619.0,1,No,16,Alta,Muy_Alta,0,9,3,9,4,7
119,40,No,Travel_Frequently,Research & Development,1,Universitaria,Software Engineer,Alta,Media,4,Software Engineer,Media,Married,13503.0,1,No,22,Muy_Alta,Muy_Alta,1,22,3,22,11,11
120,51,No,Travel_Rarely,Sales,21,Universitaria,Marketing,Alta,Alta,2,Sales Executive,Alta,Single,5441.0,0,Yes,22,Muy_Alta,Muy_Alta,0,11,2,10,1,0
121,30,No,Travel_Rarely,Sales,4,Universitaria,Medical,Alta,Media,2,Sales Executive,Media,Divorced,5209.0,1,Yes,12,Alta,Media,3,11,4,11,2,7
124,46,No,Travel_Frequently,Research & Development,1,Universitaria,Systems Engineer,Alta,Media,3,Software Engineer,Media,Married,10673.0,2,Yes,13,Alta,Alta,1,21,5,10,9,5
125,32,No,Travel_Rarely,Sales,6,Universitaria,Medical,Media,Alta,2,Sales Executive,Alta,Single,5010.0,1,No,16,Alta,Baja,0,12,0,11,5,7
128,24,No,Travel_Rarely,Sales,3,Universitaria,Other,Baja,Alta,2,Sales Executive,Alta,Married,4999.0,0,No,21,Muy_Alta,Baja,1,4,2,3,0,2
129,28,No,Non-Travel,Sales,4,Universitaria,Medical,Media,Alta,2,Sales Executive,Alta,Married,4221.0,1,No,15,Alta,Media,0,5,3,5,0,4
131,58,No,Travel_Rarely,Sales,10,Universitaria,Medical,Muy_Alta,Alta,4,Sales Executive,Alta,Single,13872.0,0,No,13,Alta,Alta,0,38,1,37,1,8
132,44,No,Non-Travel,Research & Development,23,Universitaria,Systems Engineer,Media,Alta,2,Laboratory Technician,Alta,Married,2042.0,4,No,12,Alta,Alta,1,17,3,3,1,2
133,37,Yes,Travel_Rarely,Human Resources,6,Universitaria,Human Resources,Alta,Alta,1,Human Resources,No aplica,Divorced,2073.0,4,Yes,22,Muy_Alta,Muy_Alta,0,7,3,3,0,2
134,32,No,Travel_Rarely,Financial,1,Universitaria,Ingeniería Administrativa,Muy_Alta,Alta,1,Financial Analyst,Alta,Single,2956.0,1,No,13,Alta,Muy_Alta,0,1,2,1,0,0
137,20,Yes,Travel_Frequently,Research & Development,6,Universitaria,Software Engineer,Muy_Alta,Media,1,Laboratory Technician,Media,Single,2926.0,1,Yes,18,Alta,Media,0,1,5,1,1,0
138,34,No,Travel_Rarely,Research & Development,6,Universitaria,Other,Baja,Alta,2,Research Scientist,Alta,Single,4809.0,1,No,14,Alta,Alta,0,16,3,16,2,10
139,37,No,Non-Travel,Research & Development,2,Universitaria,Software Engineer,Alta,Media,2,Software Engineer,Media,Divorced,5163.0,5,No,14,Alta,Muy_Alta,1,17,2,1,0,0
140,59,No,Non-Travel,Human Resources,2,Universitaria,Human Resources,Alta,Media,5,Talent Manager,Media,Married,18844.0,9,No,21,Muy_Alta,Muy_Alta,1,30,3,3,2,2
141,50,No,Travel_Frequently,Financial,1,Universitaria,Ingeniería Administrativa,Baja,Alta,5,Financial Director,Alta,Married,18172.0,3,Yes,19,Alta,Baja,0,28,1,8,0,7
142,25,Yes,Travel_Rarely,Sales,5,Universitaria,Marketing,Alta,Media,2,Sales Executive,Media,Single,5744.0,1,Yes,11,Alta,Muy_Alta,0,6,1,6,0,3
143,25,No,Travel_Rarely,Financial,7,Universitaria,Finanzas,Muy_Alta,Media,1,Financial Analyst,Media,Married,2889.0,1,No,11,Alta,Alta,2,2,2,2,2,1
144,22,No,Travel_Rarely,Financial,15,Universitaria,Finanzas,Media,Alta,1,Treasurer,Alta,Single,2871.0,1,No,15,Alta,Alta,0,1,5,0,0,0
145,51,No,Travel_Frequently,Research & Development,1,Universitaria,Systems Engineer,Baja,Media,3,Software Engineer,No aplica,Single,7484.0,3,No,20,Muy_Alta,Alta,0,23,1,13,12,8
147,34,Yes,Travel_Frequently,Research & Development,7,Primaria,Software Engineer,Baja,Baja,2,Laboratory Technician,Baja,Single,6074.0,1,Yes,24,Muy_Alta,Muy_Alta,0,9,3,9,0,6
148,54,No,Non-Travel,Human Resources,26,Master,Human Resources,Muy_Alta,Muy_Alta,4,Talent Manager,Muy_Alta,Single,17328.0,2,Yes,12,Alta,Alta,0,23,3,5,4,4
150,24,No,Travel_Rarely,Research & Development,18,Universitaria,Software Engineer,Media,Alta,1,Laboratory Technician,Alta,Married,2774.0,0,No,12,Alta,Alta,1,6,2,5,1,2
151,34,No,Travel_Rarely,Research & Development,6,Universitaria,Software Engineer,Alta,Media,2,Research Scientist,Media,Divorced,4505.0,6,No,15,Alta,Alta,1,12,3,1,0,0
152,37,No,Travel_Rarely,Sales,3,Universitaria,Life Sciences,Alta,Alta,3,Sales Executive,Alta,Single,7428.0,2,No,12,Alta,Baja,0,12,3,5,1,3
153,34,No,Travel_Rarely,Research & Development,5,Universitaria,Systems Engineer,Alta,Media,5,CTO,Media,Single,11631.0,2,No,12,Alta,Muy_Alta,0,14,6,11,5,8
154,36,No,Travel_Frequently,Sales,11,Universitaria,Technical Degree,Media,Alta,3,Sales Executive,Alta,Married,9738.0,0,No,14,Alta,Alta,1,10,6,9,2,8
158,43,No,Travel_Frequently,Sales,26,Universitaria,Life Sciences,Alta,Alta,4,CMO,Alta,Married,16959.0,1,Yes,12,Alta,Muy_Alta,2,25,3,25,4,12
159,30,No,Travel_Frequently,Research & Development,23,Primaria,Software Engineer,Baja,Baja,1,Research Scientist,Baja,Divorced,2613.0,1,No,25,Muy_Alta,Alta,3,10,2,10,0,9
160,33,No,Non-Travel,Sales,22,Universitaria,Marketing,Alta,Alta,2,Sales Executive,Alta,Married,6146.0,0,No,13,Alta,Baja,1,8,2,7,0,7
161,56,Yes,Travel_Rarely,Financial,14,Universitaria,Ingeniería Administrativa,Media,Alta,1,Financial Analyst,Alta,Married,4963.0,9,Yes,18,Alta,Baja,3,7,2,5,4,3
162,51,No,Travel_Rarely,Research & Development,6,Universitaria,Software Engineer,Baja,Alta,5,Research Director,Alta,Single,19537.0,7,No,13,Alta,Alta,0,23,5,20,15,15
163,31,Yes,Travel_Rarely,Sales,6,Primaria,Life Sciences,Media,Baja,2,Sales Executive,Baja,Married,6172.0,4,Yes,18,Alta,Media,0,12,3,7,7,7
165,58,Yes,Travel_Rarely,Research & Development,23,Universitaria,Systems Engineer,Muy_Alta,Alta,3,Software Engineer,Alta,Married,10312.0,1,No,12,Alta,Muy_Alta,1,40,3,40,15,6
167,19,Yes,Travel_Rarely,Sales,22,Universitaria,Marketing,Muy_Alta,Alta,1,Sales Representative,Alta,Single,1675.0,1,Yes,19,Alta,Muy_Alta,0,0,2,0,0,0
169,22,No,Travel_Rarely,Research & Development,2,Universitaria,Software Technologist,Alta,Alta,1,Laboratory Technician,Alta,Married,2523.0,0,No,14,Alta,Alta,1,3,2,2,2,1
170,49,No,Travel_Rarely,Research & Development,20,Universitaria,Systems Engineer,Alta,Alta,2,Data Scientist,Alta,Married,6567.0,1,No,14,Alta,Alta,0,16,2,15,5,11
171,43,No,Travel_Frequently,Research & Development,28,Master,Systems Engineer,Media,Muy_Alta,1,Research Scientist,Muy_Alta,Single,4739.0,4,No,12,Alta,Muy_Alta,0,18,2,3,1,2
175,31,Yes,Travel_Rarely,Sales,20,Primaria,Life Sciences,Media,Baja,2,Sales Executive,Baja,Married,4559.0,3,Yes,11,Alta,Alta,1,4,2,2,2,2
176,41,No,Travel_Rarely,Sales,9,Universitaria,Life Sciences,Alta,Alta,3,Sales Executive,Alta,Divorced,8189.0,3,Yes,13,Alta,Alta,1,12,2,9,0,7
177,26,No,Travel_Rarely,Human Resources,25,Universitaria,Life Sciences,Alta,Alta,1,Human Resources,Alta,Married,2942.0,1,No,23,Muy_Alta,Muy_Alta,1,8,3,8,5,7
178,36,No,Travel_Rarely,Research & Development,6,Universitaria,Systems Engineer,Media,Alta,2,Data Scientist,Alta,Divorced,4941.0,6,No,20,Muy_Alta,Muy_Alta,2,7,0,3,0,1
179,51,Yes,Travel_Frequently,Research & Development,8,Primaria,Software Engineer,Baja,Baja,3,Data Scientist,Baja,Single,10650.0,2,No,15,Alta,Muy_Alta,0,18,2,4,0,3
182,39,No,Travel_Rarely,Sales,4,Universitaria,Life Sciences,Muy_Alta,Media,2,Sales Executive,Media,Married,5902.0,4,No,14,Alta,Alta,1,17,1,15,5,9
183,25,No,Travel_Rarely,Sales,28,Universitaria,Life Sciences,Baja,Media,2,Sales Executive,Media,Married,8639.0,2,No,18,Alta,Muy_Alta,0,6,3,2,2,2
190,32,Yes,Travel_Rarely,Research & Development,9,Universitaria,Systems Engineer,Baja,Alta,1,Laboratory Technician,Alta,Single,4200.0,7,No,22,Muy_Alta,Baja,0,10,2,5,0,4
192,45,No,Travel_Rarely,Financial,29,Universitaria,Finanzas,Alta,Alta,1,Financial Analyst,Alta,Single,3452.0,5,No,13,Alta,Media,0,9,2,6,0,3
193,38,No,Travel_Rarely,Research & Development,3,Universitaria,Software Technologist,Muy_Alta,Alta,2,Research Scientist,Alta,Single,4317.0,3,Yes,20,Muy_Alta,Media,0,19,2,3,2,2
194,30,No,Travel_Rarely,Research & Development,18,Universitaria,Software Engineer,Baja,Alta,1,Research Scientist,Alta,Single,2632.0,1,No,14,Alta,Alta,0,5,4,5,0,4
195,32,No,Travel_Frequently,Sales,9,Primaria,Medical,Muy_Alta,Baja,2,Sales Executive,Baja,Divorced,4668.0,0,No,17,Alta,Muy_Alta,3,9,2,8,0,7
197,30,No,Travel_Rarely,Research & Development,5,Universitaria,Software Technologist,Muy_Alta,Alta,1,Research Scientist,Alta,Divorced,3204.0,5,No,14,Alta,Muy_Alta,1,8,3,3,2,2
198,30,No,Travel_Rarely,Research & Development,2,Universitaria,Systems Engineer,Media,Media,1,Laboratory Technician,Media,Single,2720.0,0,No,13,Alta,Muy_Alta,0,6,3,5,1,2
199,41,No,Travel_Frequently,Research & Development,10,Universitaria,Software Engineer,Muy_Alta,Media,4,CTO,Media,Divorced,17181.0,4,No,13,Alta,Media,1,21,2,7,7,7
200,41,No,Travel_Rarely,Research & Development,9,Universitaria,Software Engineer,Alta,Alta,1,Laboratory Technician,Alta,Married,2238.0,2,No,21,Muy_Alta,Muy_Alta,1,7,2,5,1,4
202,40,No,Travel_Frequently,Research & Development,26,Universitaria,Systems Engineer,Media,Alta,2,Research Scientist,Alta,Divorced,5605.0,1,No,11,Alta,Baja,1,20,2,20,2,13
204,35,No,Travel_Rarely,Sales,1,Universitaria,Marketing,Alta,Alta,3,Sales Executive,Alta,Married,7295.0,1,No,13,Alta,Baja,2,10,3,10,0,6
205,53,No,Travel_Rarely,Sales,6,Universitaria,Marketing,Media,Alta,2,Sales Representative,Alta,Married,2306.0,2,Yes,20,Muy_Alta,Muy_Alta,1,13,3,7,4,5
206,45,No,Travel_Rarely,Research & Development,9,Universitaria,Software Engineer,Media,Alta,2,Laboratory Technician,Alta,Divorced,2348.0,8,No,18,Alta,Alta,1,20,2,17,0,15
207,32,No,Travel_Frequently,Sales,8,Universitaria,Marketing,Media,Alta,3,Sales Executive,Alta,Single,8998.0,1,No,14,Alta,Muy_Alta,0,9,2,9,3,7
208,29,No,Non-Travel,Research & Development,1,Universitaria,Software Technologist,Muy_Alta,Alta,2,Data Scientist,Alta,Married,4319.0,1,No,13,Alta,Baja,1,10,1,10,0,9
211,51,No,Travel_Rarely,Financial,7,Universitaria,Finanzas,Media,No aplica,2,Accountant,No aplica,Married,6132.0,2,No,17,Alta,Alta,0,10,2,1,0,0
215,40,No,Travel_Rarely,Sales,4,Universitaria,Marketing,Alta,Media,3,Sales Executive,Media,Married,10855.0,7,No,11,Alta,Baja,1,15,2,12,2,11
218,27,No,Non-Travel,Financial,9,Universitaria,Finanzas,Muy_Alta,Alta,1,Financial Analyst,Alta,Divorced,2024.0,6,No,18,Alta,Muy_Alta,1,6,1,2,2,2
221,28,No,Travel_Rarely,Research & Development,21,Universitaria,Systems Engineer,Alta,Alta,1,Research Scientist,Alta,Married,2713.0,1,No,11,Alta,Alta,1,5,2,5,0,2
223,57,No,Travel_Rarely,Research & Development,24,Master,Software Engineer,Alta,Muy_Alta,3,Software Engineer,Muy_Alta,Divorced,9439.0,3,Yes,16,Alta,Media,1,12,2,5,1,4
224,27,No,Non-Travel,Research & Development,3,Universitaria,Systems Engineer,Alta,Media,1,Research Scientist,Media,Divorced,2566.0,1,Yes,15,Alta,Muy_Alta,1,1,2,1,0,1
226,50,No,Travel_Rarely,Research & Development,11,Universitaria,Software Engineer,Alta,Alta,5,CTO,Alta,Single,19926.0,3,No,15,Alta,Media,0,21,5,5,4,4
227,41,No,Travel_Rarely,Research & Development,14,Universitaria,Software Engineer,Baja,Alta,1,Research Scientist,Alta,Divorced,2451.0,4,No,12,Alta,Baja,1,13,2,9,1,8
228,30,No,Travel_Rarely,Sales,5,Universitaria,Life Sciences,Media,Alta,3,Sales Executive,Alta,Married,9419.0,2,No,12,Alta,Alta,1,12,2,10,7,4
230,38,No,Travel_Rarely,Sales,1,Universitaria,Life Sciences,Baja,Media,2,Sales Executive,Media,Single,8686.0,4,No,22,Muy_Alta,Alta,0,12,2,8,0,7
231,32,No,Travel_Rarely,Research & Development,6,Universitaria,Software Engineer,Alta,Alta,1,Research Scientist,Alta,Single,3038.0,3,No,20,Muy_Alta,Baja,0,8,2,5,1,4
